haushalt;haushalt_beschreibung;haushaltstelle;einzelplan;unterabschnitt;haushaltkonto;jahr;wert;soll_ist;einnahme_ausgabe;vermerke;fb;haushaltstelle_beschreibung;haushaltstelle_beschreibung_detail;einzelplan_beschreibung;unterabschnitt_beschreibung;seite
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0001.9351";"0";"0001";"9351";2013;30000.00;"Ist";"Ausgabe";"";"011";"Zimmerausstattungen";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane Direktorium 1";"1089"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0002.9361";"0";"0002";"9361";2013;625.00;"Ist";"Ausgabe";"";"020";"Zimmerausstattungen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane Direktorium 2";"1090"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0100.3040";"0";"0100";"3040";2013;3409.26;"Ist";"Einnahme";"MaßN.=5912, ZueD-Me=6912";"120";"Zuführung vom Verwaltungshaus- halt für Budgetrücklage bzgl. Budget '0101200'";"";"Allgemeine Verwaltung";"Rechnungsprüfung";"1093"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0100.9351";"0";"0100";"9351";2013;1366.55;"Ist";"Ausgabe";"";"120";"Zimmerausstattungen";"";"Allgemeine Verwaltung";"Rechnungsprüfung";"1093"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0100.9361";"0";"0100";"9361";2013;2042.71;"Ist";"Ausgabe";"";"120";"Zimmerausstattungen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"Rechnungsprüfung";"1093"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0201.9351";"0";"0201";"9351";2013;6396.86;"Ist";"Ausgabe";"";"011";"Zimmerausstattungen";"";"Allgemeine Verwaltung";"SK - Rat und Repräsentation";"1094"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0201.9450";"0";"0201";"9450";2013;-500.00;"Ist";"Ausgabe";"";"011";"Erweiterungs-, Um- und Ausbauten";"";"Allgemeine Verwaltung";"SK - Rat und Repräsentation";"1094"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0202.3040";"0";"0202";"3040";2013;5802.89;"Ist";"Einnahme";"MaßN.=5998, ZueD-Me=6998";"011";"Zuführung vom Verwaltungshaus- halt für Budgetrücklage bzgl. Budget '0110000'";"";"Allgemeine Verwaltung";"SK -Steuerung und Koordination (SK 5 - 7)";"1095"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0202.9351";"0";"0202";"9351";2013;7000.00;"Ist";"Ausgabe";"";"011";"Zimmerausstattungen";"";"Allgemeine Verwaltung";"SK -Steuerung und Koordination (SK 5 - 7)";"1095"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0202.9361";"0";"0202";"9361";2013;-144.15;"Ist";"Ausgabe";"";"011";"Zimmerausstattungen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"SK -Steuerung und Koordination (SK 5 - 7)";"1095"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0202.9362";"0";"0202";"9362";2013;4380.83;"Ist";"Ausgabe";"";"011";"Arbeitsgeräte und Maschinen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"SK -Steuerung und Koordination (SK 5 - 7)";"1095"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0208.9351";"0";"0208";"9351";2013;1539.12;"Ist";"Ausgabe";"";"180";"Zimmerausstattungen";"";"Allgemeine Verwaltung";"Hauptverwaltung Zentraler Verwaltungsservice";"1096"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0208.9361";"0";"0208";"9361";2013;3037.72;"Ist";"Ausgabe";"";"180";"Zimmerausstattungen -Ersatzbeschaffung- ";"";"Allgemeine Verwaltung";"Hauptverwaltung Zentraler Verwaltungsservice";"1096"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0221.9351";"0";"0221";"9351";2013;945.46;"Ist";"Ausgabe";"";"180";"Zimmerausstattungen";"";"Allgemeine Verwaltung";"Personalverwaltung Zentraler Verwaltungsservice";"1097"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0221.9362";"0";"0221";"9362";2013;2400.94;"Ist";"Ausgabe";"";"";"Arbeitsgeräte und Maschinen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"Personalverwaltung Zentraler Verwaltungsservice";"1097"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0231.9361";"0";"0231";"9361";2013;-313.99;"Ist";"Ausgabe";"";"300";"Zimmerausstattungen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"Rechtswesen - Bußgeldstelle";"1098"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0301.3451";"0";"0301";"3451";2013;1144.00;"Ist";"Einnahme";"";"201";"Verkauf von Austattungs- gegenständen ";"Einnahmen aus Verkauf von Altmobiliar";"Allgemeine Verwaltung";"Kämmerei";"1100"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0301.9361";"0";"0301";"9361";2013;1527.21;"Ist";"Ausgabe";"";"202";"Zimmerausstattungen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"Kämmerei";"1100"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0331.9351";"0";"0331";"9351";2013;1500.00;"Ist";"Ausgabe";"";"200";"Zimmerausstattungen";"";"Allgemeine Verwaltung";"Kassenverwaltung";"1102"
